"Data 
month",Data type,Nationality group,Nationality,All staff groups,All staff groups,HCHS doctors - All grades,HCHS doctors - Consultant,HCHS doctors - Associate Specialist,HCHS doctors - Specialty Doctor,HCHS doctors - Staff Grade,HCHS doctors - Specialty Registrar,HCHS doctors - Core Training,HCHS doctors - Foundation Doctor Year 2,HCHS doctors - Foundation Doctor Year 1,HCHS doctors - Hospital Practitioner / Clinical Assistant,HCHS doctors - Other HCHS Doctor Grades,Nurses & health visitors,Midwives,Ambulance staff,"Scientific, therapeutic & technical staff",All staff groups,"Support to doctors, nurses & midwives",Support to ambulance staff,Support to ST&T staff,All staff groups,Senior managers,Managers,Central functions,"Hotel, property & estates",Unknown classification
Jun-26,FTE,European Union,Hungarian,1363.70,646.06,254.40,156.66,8.39,27.56,0.00,36.89,17.52,4.78,2.00,0.61,0.00,218.13,12.64,8.17,152.72,480.93,348.99,7.76,124.18,236.71,2.00,11.80,109.45,113.47,0.00
Jun-26,FTE,European Union,Irish,12402.32,9414.65,2349.67,1042.73,37.87,154.55,2.00,603.05,262.18,102.23,122.67,9.36,13.04,3751.14,208.63,243.42,2861.80,1804.48,1141.20,127.95,535.33,1181.19,162.36,258.51,554.12,206.21,2.00
Jun-26,FTE,European Union,Italian,7608.13,4608.78,1191.41,621.27,18.17,43.24,13.00,271.95,141.04,29.29,51.00,0.85,1.60,2243.12,199.19,21.89,953.18,1870.00,1361.00,28.41,480.59,1126.35,13.40,73.63,350.50,688.82,3.00
Jun-26,FTE,European Union,Latvian,758.24,235.28,55.48,21.37,3.72,5.50,0.00,12.89,8.68,0.93,2.00,0.00,0.40,109.61,7.21,5.00,57.98,296.62,210.44,6.64,79.53,226.35,2.00,3.49,67.40,153.45,0.00
Jun-26,FTE,European Union,Lithuanian,1947.30,707.62,143.52,68.69,2.91,9.75,0.00,37.28,12.89,5.00,7.00,0.00,0.00,296.71,22.95,12.92,231.53,769.45,558.30,15.00,196.16,469.22,5.00,22.00,146.12,296.10,1.00
Jun-26,FTE,European Union,Luxembourg,13.30,9.30,3.69,1.00,0.00,0.00,0.00,0.69,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,3.61,4.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
Jun-26,FTE,European Union,Maltese,312.58,263.06,199.49,109.40,1.00,4.48,0.00,56.14,21.48,4.00,3.00,0.00,0.00,20.06,2.00,1.31,40.21,29.39,15.15,2.00,12.24,20.12,2.00,3.00,9.92,5.20,0.00
Jun-26,FTE,European Union,Polish,11214.28,3993.29,576.76,236.48,14.60,53.48,3.00,117.23,57.92,36.03,48.72,1.71,7.60,1796.11,126.18,168.81,1325.44,4475.31,3234.64,88.58,1152.09,2745.68,22.00,83.50,852.10,1788.09,0.00
Jun-26,FTE,European Union,Portuguese,8202.79,4361.16,355.28,114.98,7.00,21.76,1.00,94.83,63.64,11.00,31.92,1.28,7.88,2638.36,50.15,22.81,1294.56,2276.42,1712.25,42.66,521.51,1563.41,22.00,71.71,382.51,1087.19,1.80
Jun-26,FTE,European Union,Romanian,6049.32,2909.85,661.08,290.05,24.55,113.63,0.00,106.30,93.69,17.64,14.00,0.22,1.00,1799.95,13.37,13.76,421.69,2124.03,1624.69,49.29,450.05,1012.96,5.00,24.00,310.72,673.24,2.48
